-0.9 -0.9    0
-0.6 -0.9    0
-0.3 -0.9    0
   0 -0.9    0
 0.3 -0.9    0
 0.6 -0.9    0
-0.9 -0.6    0
-0.6 -0.6    0
-0.3 -0.6    0
   0 -0.6    0
 0.3 -0.6    0
 0.6 -0.6    0
-0.9 -0.3    0
-0.6 -0.3    0
-0.3 -0.3    0
   0 -0.3    0
 0.3 -0.3    0
 0.6 -0.3    0
-0.9    0    0
-0.6    0    0
-0.3    0    0
0 0 0
0.3   0   0
0.6   0   0
-0.9  0.3    0
-0.6  0.3    0
-0.3  0.3    0
  0 0.3   0
0.3 0.3   0
0.6 0.3   0
-0.9  0.6    0
-0.6  0.6    0
-0.3  0.6    0
  0 0.6   0
0.3 0.6   0
0.6 0.6   0

